snow;sne
war;krig
thaw;tø
freezing;frysning
summer;sommer
winter;vinter
autumn;efterår
spring;forår
ice cream;is
hotel;hotel
soil;jord
vegetable;vegetabilsk
machine;maskine
sea;sea
book;bog
beard;skæg
Jupiter;Jupiter
sword;sværd
difficulty;vanskeligheder
light;lys
cuirass;Kyrads
folder;mappe
rum;rom
juice;juice
pirate;pirat
dill;dild
painter;maler
red;red
green;grøn
blue;blå
black;black
white;hvid
yellow;gul
rhombus;rhombus
triangle;trekant
square;firkantet
plate;tallerken
language;sprog
circle;cirkel
goal;mål
Injun;Injun
collection;kollektion
mobilization;mobilisering
smoked;røget
party;part
titanium;titan
destabilization;destabilisering
tenderness;ømhed
youth;ungdom
cheerful;munter
candy;slik
mandarin;mandarin
lead;føre
screen;skærm
burger;burger
button;Knappen
bell;klokke
sadness;sorg
sound;lyde
meditation;meditation
conservation;bevaring
liberalization;liberalisering
exam;eksamen
degradation;nedbrydning
error;fejl
search;søg
socket;socket
bar;Bar
screen;skærm
vulture;grib
watch;watch
window;vindue
lantern;lanterne
trash;papirkurven
football;fodbold
hockey;hockey
basketball;basketball
volleyball;volleyball
rugby;rugby
billiards;billard
Titanic;Titanic
dynamic;dynamiske
device;enhed
print;print
fraction;fraktion
cookery;madlavning
office;kontor
Caesar;Caesar
up;up
running;kører
sneeze;nyse
kick;sparke
bawl;vræle
operator;operatør
nose;næse
boxing;boksning
horseradish;peberrod
accordion;harmonika
grill;grill
urn;urne
chew;tygge
cat;cat
code;kode
music;musik
flower;blomst
coloring;farvelægning
hardcore;hardcore
happiness;lykke
smile;smile
smirk;smirk
souffle;souffle
charging;opladning
discharge;aflade
optics;optik
hallucination;hallucination
translation;translation
flow;flow
bucket;spand
sing;synge
angle;vinkel
wall;væg
side;side
wind;blæst
thunder;torden
background;baggrund
