snow;nieve
war;guerra
thaw;deshielo
freezing;congelación
summer;verano
winter;invierno
autumn;otoño
spring;primavera
ice cream;helado
hotel;hotel
soil;suelo
vegetable;vegetal
machine;máquina
sea;mar
book;libro
beard;barba
Jupiter;Júpiter
sword;espada
difficulty;dificultad
light;luz
cuirass;coraza
folder;carpeta
rum;ron
juice;jugo
pirate;pirata
dill;eneldo
painter;pintor
red;rojo
green;verde
blue;azul
black;negro
white;blanco
yellow;amarillo
rhombus;rombo
triangle;triángulo
square;plaza
plate;placa
language;idioma
circle;círculo
goal;objetivo
Injun;Indio
collection;colección
mobilization;movilización
smoked;ahumado
party;partido
titanium;titanio
destabilization;desestabilización
tenderness;ternura
youth;juventud
cheerful;alegre
candy;caramelo
mandarin;mandarina
lead;conducir
screen;pantalla
burger;hamburguesa
button;botón
bell;campana
sadness;tristeza
sound;sonido
meditation;meditación
conservation;conservación
liberalization;liberalización
exam;examen
degradation;degradación
error;error
search;búsqueda
socket;enchufe
bar;bar
screen;pantalla
vulture;buitre
watch;ver
window;ventana
lantern;linterna
trash;basura
football;fútbol
hockey;hockey
basketball;baloncesto
volleyball;voleibol
rugby;rugby
billiards;billar
Titanic;Titánico
dynamic;dinámica
device;dispositivo
print;imprimir
fraction;fracción
cookery;cocina
office;oficina
Caesar;César
up;hasta
running;funcionamiento
sneeze;estornudar
kick;patear
bawl;gritar
operator;operador
nose;nariz
boxing;boxeo
horseradish;rábano picante
accordion;acordeón
grill;grill
urn;urna
chew;masticar
cat;gato
code;código
music;música
flower;flor
coloring;colorante
hardcore;duro
happiness;felicidad
smile;sonreír
smirk;sonrisa afectada
souffle;soufflé
charging;carga
discharge;descargar
optics;óptica
hallucination;alucinación
translation;traducción
flow;flujo
bucket;cubo
sing;cantar
angle;ángulo
wall;pared
side;lado
wind;viento
thunder;trueno
background;fondo
