snow;lumi
war;sota
thaw;sulaa
freezing;jäätymispiste
summer;kesä
winter;talvi
autumn;syksy
spring;kevät
ice cream;jäätelö
hotel;hotelli
soil;maaperä
vegetable;kasvis
machine;kone
sea;meri
book;kirja
beard;parta
Jupiter;Jupiter
sword;miekka
difficulty;vaikeus
light;valo
cuirass;rintahaarniska
folder;kansio
rum;rommi
juice;mehu
pirate;merirosvo
dill;tilli
painter;maalari
red;punainen
green;vihreä
blue;sininen
black;musta
white;valkoinen
yellow;keltainen
rhombus;vinoneliö
triangle;kolmio
square;neliö
plate;levy
language;kieli
circle;ympyrä
goal;tavoite
Injun;Injun
collection;kokoelma
mobilization;mobilisointi
smoked;savustettu
party;puolue
titanium;titaani
destabilization;epävakautta
tenderness;arkuus
youth;nuoriso
cheerful;iloinen
candy;karkki
mandarin;mandariini
lead;johtaa
screen;kuvaruutu
burger;hampurilainen
button;nappi
bell;soittokello
sadness;surullisuus
sound;kuulostaa
meditation;meditaatio
conservation;säilyttäminen
liberalization;vapauttaminen
exam;tentti
degradation;hajoaminen
error;virhe
search;haku
socket;pistorasia
bar;bar
screen;kuvaruutu
vulture;korppikotka
watch;katsella
window;ikkuna
lantern;lyhty
trash;trash
football;jalkapallo
hockey;jääkiekko
basketball;koripallo
volleyball;lentopallo
rugby;rugby
billiards;biljardi
Titanic;Titaanimainen
dynamic;dynaaminen
device;laite
print;paino
fraction;jae
cookery;ruoanlaitto
office;toimisto
Caesar;Keisari
up;ylös
running;juoksu
sneeze;aivastaa
kick;potkia
bawl;parkua
operator;operaattori
nose;nenä
boxing;nyrkkeily
horseradish;piparjuuri
accordion;harmonikka
grill;grilli
urn;uurna
chew;pureskella
cat;kissa
code;koodi
music;musiikki
flower;kukka
coloring;väritys
hardcore;hardcore
happiness;onnellisuus
smile;hymyillä
smirk;virnistää
souffle;kohokas
charging;latauksen
discharge;purkaa
optics;optiikka
hallucination;hallusinaatio
translation;käännös
flow;virtaus
bucket;ämpäri
sing;laulaa
angle;kulma
wall;seinä
side;puoli
wind;tuuli
thunder;ukkonen
background;tausta
