snow;neige
war;guerre
thaw;dégel
freezing;congélation
summer;été
winter;hiver
autumn;automne
spring;printemps
ice cream;crème glacée
hotel;hôtel
soil;sol
vegetable;légumes
machine;Machine
sea;mer
book;livre
beard;barbe
Jupiter;Jupiter
sword;épée
difficulty;difficulté
light;léger
cuirass;cuirasse
folder;dossier
rum;rhum
juice;jus
pirate;pirate
dill;aneth
painter;peintre
red;rouge
green;vert
blue;bleu
black;noir
white;blanc
yellow;jaune
rhombus;losange
triangle;triangle
square;carré
plate;plaque
language;langue
circle;cercle
goal;objectif
Injun;Injun
collection;ensemble
mobilization;mobilisation
smoked;fumé
party;partie
titanium;titane
destabilization;déstabilisation
tenderness;tendresse
youth;jeunesse
cheerful;enjoué
candy;candy
mandarin;mandarin
lead;conduire
screen;écran
burger;Burger
button;bouton
bell;cloche
sadness;tristesse
sound;sonner
meditation;méditation
conservation;conservation
liberalization;libéralisation
exam;examen
degradation;dégradation
error;erreur
search;rechercher
socket;socket
bar;bar
screen;écran
vulture;vautour
watch;voir
window;fenêtre
lantern;lanterne
trash;corbeille
football;football américain
hockey;Hockey
basketball;basket-ball
volleyball;volley-ball
rugby;Rugby
billiards;billard
Titanic;Titanic
dynamic;dynamique
device;appareil
print;imprimer
fraction;fraction
cookery;cuisine
office;fonction
Caesar;César
up;up
running;course
sneeze;éternuer
kick;coup
bawl;brailler
operator;opérateur
nose;nez
boxing;boxe
horseradish;raifort
accordion;accordéon
grill;grill
urn;urne
chew;mastiquer
cat;cat
code;Code
music;musique
flower;fleur
coloring;coloration
hardcore;Hardcore
happiness;bonheur
smile;sourire
smirk;ricaner
souffle;Soufflé
charging;chargement
discharge;décharger
optics;optique
hallucination;hallucination
translation;traduction
flow;circulation
bucket;seau
sing;chanter
angle;angle
wall;mur
side;côté
wind;vent
thunder;tonnerre
background;fond
