snow;śnieg
war;wojna
thaw;odwilż
freezing;zamrażanie
summer;lato
winter;zima
autumn;jesień
spring;wiosna
ice cream;lody
hotel;hotel
soil;gleba
vegetable;warzywo
machine;maszyna
sea;morze
book;książka
beard;broda
Jupiter;Jupiter
sword;miecz
difficulty;trudność
light;światło
cuirass;pancerz
folder;Folder
rum;rum
juice;sok
pirate;pirat
dill;koper
painter;malarz
red;czerwony
green;zielony
blue;niebieski
black;czarny
white;biały
yellow;żółty
rhombus;romb
triangle;trójkąt
square;plac
plate;płyta
language;język
circle;krąg
goal;cel
Injun;Injun
collection;kolekcja
mobilization;mobilizacja
smoked;wędzony
party;strona
titanium;tytan
destabilization;destabilizacja
tenderness;czułość
youth;młodzież
cheerful;wesoły
candy;cukierek
mandarin;mandarynka
lead;prowadzić
screen;ekran
burger;burger
button;przycisk
bell;dzwon
sadness;smutek
sound;brzmieć
meditation;medytacja
conservation;ochrona
liberalization;liberalizacja
exam;egzamin
degradation;degradacja
error;błąd
search;sprawdzić
socket;gniazdo
bar;bar
screen;ekran
vulture;sęp
watch;obserwować
window;okno
lantern;latarnia
trash;śmieci
football;piłka nożna
hockey;hokej
basketball;koszykówka
volleyball;siatkówka
rugby;rugby
billiards;bilard
Titanic;Tytaniczny
dynamic;dynamiczny
device;urządzenie
print;wydrukować
fraction;frakcja
cookery;sztuka kulinarna
office;biuro
Caesar;Cezar
up;w górę
running;bieganie
sneeze;kichać
kick;kopać
bawl;wywrzaskiwać
operator;operator
nose;nos
boxing;boks
horseradish;chrzan
accordion;akordeon
grill;grill
urn;urna
chew;żuć
cat;kot
code;kod
music;muzyka
flower;kwiat
coloring;farbowanie
hardcore;Hardcore
happiness;szczęście
smile;uśmiech
smirk;uśmiech
souffle;suflet
charging;ładowania
discharge;rozładować
optics;optyka
hallucination;halucynacja
translation;tłumaczenie
flow;przepływ
bucket;wiadro
sing;śpiewać
angle;kąt
wall;ściana
side;strona
wind;wiatr
thunder;grzmot
background;tło
