snow;kar
war;savaş
thaw;erime
freezing;dondurma
summer;yaz
winter;kış
autumn;sonbahar
spring;bahar
ice cream;dondurma
hotel;otel
soil;toprak
vegetable;sebze
machine;makine
sea;deniz
book;kitap
beard;sakal
Jupiter;Jüpiter
sword;kılıç
difficulty;zorluk
light;ışık
cuirass;zırh
folder;klasör
rum;rom
juice;meyve suyu
pirate;korsan
dill;dereotu
painter;ressam
red;kırmızı
green;yeşil
blue;mavi
black;siyah
white;beyaz
yellow;sarı
rhombus;eşkenar dörtgen
triangle;üçgen
square;kare
plate;plaka
language;dil
circle;daire
goal;hedef
Injun;Kızılderili
collection;toplama
mobilization;seferberlik
smoked;füme
party;parti
titanium;titanyum
destabilization;istikrarsızlaştırma
tenderness;hassaslık
youth;gençlik
cheerful;neşeli
candy;şeker
mandarin;mandalina
lead;kurşun
screen;ekran
burger;Burger
button;düğme
bell;çan
sadness;üzüntü
sound;ses
meditation;meditasyon
conservation;koruma
liberalization;liberalleşme
exam;sınav
degradation;bozulma
error;hata
search;arama
socket;soket
bar;bar
screen;ekran
vulture;akbaba
watch;izlemek
window;pencere
lantern;fener
trash;çöp
football;futbol
hockey;hokey
basketball;basketbol
volleyball;voleybol
rugby;rugby
billiards;bilardo
Titanic;Titanik
dynamic;dinamik
device;cihaz
print;baskı
fraction;kesir
cookery;aşçılık
office;ofis
Caesar;Sezar
up;yukarı
running;çalışma
sneeze;hapşırmak
kick;tekme
bawl;bağırmak
operator;operatör
nose;burun
boxing;boks
horseradish;yabanturpu
accordion;akordeon
grill;ızgara
urn;semaver
chew;çiğnemek
cat;kedi
code;kod
music;müzik
flower;çiçek
coloring;boyama
hardcore;Hardcore
happiness;mutluluk
smile;gülümseme
smirk;sırıtma
souffle;sufle
charging;doldurma
discharge;deşarj
optics;optik
hallucination;sanrı
translation;çeviri
flow;akış
bucket;kova
sing;şarkı söylemek
angle;açı
wall;duvar
side;yan
wind;rüzgâr
thunder;gök gürültüsü
background;geçmiş
