snow;ثلج
war;حرب
thaw;أذاب
freezing;تجمد
summer;الصيف
winter;شتاء
autumn;فصل الخريف
spring;ربيع
ice cream;أيس كريم
hotel;الفندق
soil;تربة
vegetable;نباتي
machine;آلة
sea;بحر
book;كتاب
beard;لحية
Jupiter;كوكب المشتري
sword;سيف
difficulty;صعوبة
light;ضوء
cuirass;درع
folder;ملف
rum;رم
juice;عصير
pirate;قرصان
dill;شبت
painter;رسام
red;أحمر
green;أخضر
blue;أزرق
black;أسود
white;أبيض
yellow;أصفر
rhombus;معين هندسي
triangle;مثلث
square;مربع
plate;لوحة
language;لغة
circle;دائرة
goal;هدف
Injun;Injun
collection;جمع
mobilization;تحريك
smoked;مدخن
party;حزب
titanium;التيتانيوم
destabilization;زعزعة الاستقرار
tenderness;حنان
youth;شباب
cheerful;مرح
candy;حلوى
mandarin;اليوسفي
lead;قيادة
screen;شاشة
burger;برغر
button;زر
bell;جرس
sadness;حزن
sound;صوت
meditation;تأمل
conservation;حفظ
liberalization;تحرير
exam;امتحان
degradation;انحطاط
error;خطأ
search;بحث
socket;مقبس
bar;شريط
screen;شاشة
vulture;نسر
watch;راقب
window;نافذة
lantern;فانوس
trash;سلة المهملات
football;كرة القدم
hockey;الهوكي
basketball;كرة السلة
volleyball;الكرة الطائرة
rugby;الرجبي
billiards;البلياردو
Titanic;جبار
dynamic;ديناميكي
device;جهاز
print;طباعة
fraction;جزء
cookery;فن الطبخ
office;مكتب
Caesar;قيصر
up;فوق
running;تشغيل
sneeze;عطس
kick;ركلة
bawl;زعق
operator;عامل
nose;أنف
boxing;الملاكمة
horseradish;فجل حار
accordion;أكورديون
grill;شواء
urn;جرة
chew;مضغ
cat;قط
code;رمز
music;موسيقى
flower;زهرة
coloring;تلوين
hardcore;المتشددين
happiness;سعادة
smile;ابتسامة
smirk;وصمة
souffle;نفيخة
charging;شحن
discharge;تفريغ
optics;بصريات
hallucination;هلوسة
translation;ترجمة
flow;تدفق
bucket;دلو
sing;غنى
angle;زاوية
wall;جدار
side;جانب
wind;رياح
thunder;رعد
background;خلفية
