snow;שלג
war;מלחמה
thaw;הפשרה
freezing;הקפאה
summer;הקיץ
winter;החורף
autumn;סתיו
spring;האביב
ice cream;גלידה
hotel;מלון
soil;אדמה
vegetable;ירק
machine;מכונה
sea;ים
book;ספר
beard;זקן
Jupiter;יופיטר
sword;חרב
difficulty;קושי
light;אור
cuirass;cuirass
folder;אוגדן
rum;רום
juice;מיץ
pirate;פיראט
dill;שמיר
painter;צייר
red;אדום
green;ירוק
blue;כחול
black;שחור
white;לבן
yellow;צהוב
rhombus;מעוין
triangle;משולש
square;מרובע
plate;צלחת
language;שפה
circle;המעגל
goal;מטרה
Injun;אינדיאני
collection;גבייה
mobilization;גיוס
smoked;מעושן
party;מפלגה
titanium;טיטן
destabilization;יציבות
tenderness;רוך
youth;נוער
cheerful;עליז
candy;סוכריות
mandarin;מנדרינה
lead;להוביל
screen;מסך
burger;ההמבורגר
button;כפתור
bell;פעמון
sadness;עצב
sound;צליל
meditation;מדיטציה
conservation;שימור
liberalization;ליברליזציה
exam;בחינה
degradation;השפלה
error;שגיאה
search;לחפש
socket;שקע
bar;בר
screen;מסך
vulture;נשר
watch;לצפות
window;חלון
lantern;פנס
trash;אשפה
football;כדורגל
hockey;הוקי
basketball;כדורסל
volleyball;כדור עף
rugby;רוגבי
billiards;ביליארד
Titanic;כביר
dynamic;דינמי
device;התקן
print;להדפיס
fraction;חלק
cookery;אמנות הבשול
office;משרד
Caesar;קיסר
up;למעלה
running;ריצה
sneeze;להתעטש
kick;לבעוט
bawl;לצרוח
operator;מפעיל
nose;אף
boxing;אגרוף
horseradish;חזרת
accordion;אקורדיון
grill;גריל
urn;מייחם
chew;ללעוס
cat;חתול
code;קוד
music;מוסיקה
flower;פרח
coloring;גוון
hardcore;הארדקור
happiness;שמחה
smile;לחייך
smirk;חיוך מעושה
souffle;תפיחית
charging;טעינה
discharge;לפרוק
optics;אופטיקה
hallucination;הזיה
translation;תרגום
flow;זרימה
bucket;דלי
sing;לשיר
angle;זוית
wall;קיר
side;צד
wind;רוח
thunder;רעם
background;רקע
