snow;hó
war;háború
thaw;olvadás
freezing;fagyasztó
summer;nyári
winter;tél
autumn;ősz
spring;tavasz
ice cream;fagylalt
hotel;hotel
soil;talaj
vegetable;zöldség
machine;gép
sea;tenger
book;könyv
beard;szakáll
Jupiter;Jupiter
sword;kard
difficulty;nehézség
light;fény
cuirass;páncél
folder;mappa
rum;rum
juice;gyümölcslé
pirate;kalóz
dill;kapor
painter;festő
red;piros
green;zöld
blue;kék
black;fekete
white;fehér
yellow;sárga
rhombus;rombusz
triangle;háromszög
square;négyzet
plate;lemez
language;nyelv
circle;kör
goal;cél
Injun;Indián
collection;gyűjtemény
mobilization;mozgósítás
smoked;füstölt
party;fél
titanium;titán
destabilization;destabilizáló
tenderness;érzékenység
youth;ifjúság
cheerful;vidám
candy;cukorka
mandarin;mandarin
lead;vezet
screen;képernyő
burger;burger
button;gomb
bell;csengő
sadness;szomorúság
sound;hang
meditation;elmélkedés
conservation;megőrzés
liberalization;liberalizáció
exam;vizsgálat
degradation;degradáció
error;hiba
search;keresés
socket;foglalat
bar;bár
screen;képernyő
vulture;keselyű
watch;óra
window;ablak
lantern;lámpa
trash;szemetet
football;futball
hockey;jégkorong
basketball;kosárlabda
volleyball;röplabda
rugby;rögbi
billiards;biliárd
Titanic;Óriási
dynamic;dinamikus
device;eszköz
print;nyomtatás
fraction;töredék
cookery;szakácsművészet
office;hivatal
Caesar;Caesar
up;fel
running;futás
sneeze;tüsszentés
kick;rúgni
bawl;üvölt
operator;operátor
nose;orr
boxing;bokszolás
horseradish;torma
accordion;harmonika
grill;rostély
urn;urna
chew;rág
cat;macska
code;kód
music;zene
flower;virág
coloring;színezés
hardcore;kemény
happiness;boldogság
smile;mosolyog
smirk;önelégült mosoly
souffle;puding
charging;töltés
discharge;lemerül
optics;optika
hallucination;hallucináció
translation;fordítás
flow;folyik
bucket;vödör
sing;énekel
angle;szög
wall;fal
side;oldal
wind;szél
thunder;mennydörgés
background;háttér
