snow;sniegas
war;karas
thaw;atodrėkis
freezing;įšaldymas
summer;vasara
winter;žiema
autumn;ruduo
spring;pavasaris
ice cream;ledai
hotel;viešbutis
soil;dirvožemis
vegetable;daržovių
machine;mašina
sea;jūra
book;knyga
beard;barzda
Jupiter;Jupiteris
sword;kardas
difficulty;sunkumas
light;šviesa
cuirass;kirasa
folder;aplankas
rum;romas
juice;sultys
pirate;piratas
dill;krapai
painter;dailininkas
red;raudonas
green;žalias
blue;mėlynas
black;juodas
white;baltas
yellow;geltonas
rhombus;rombas
triangle;trikampis
square;aikštė
plate;plokštė
language;kalba
circle;ratas
goal;tikslas
Injun;Indėnas
collection;kolekcija
mobilization;mobilizacija
smoked;rūkytas
party;šalis
titanium;titanas
destabilization;destabilizacija
tenderness;švelnumas
youth;jaunimas
cheerful;linksmas
candy;saldainiai
mandarin;mandarinas
lead;vadovauti
screen;ekranas
burger;mėsainiai
button;mygtukas
bell;varpas
sadness;liūdesys
sound;garso
meditation;meditacija
conservation;išsaugojimas
liberalization;liberalizavimas
exam;egzaminas
degradation;degradacija
error;klaida
search;ieškoti
socket;lizdas
bar;baras
screen;ekranas
vulture;grifas
watch;žiūrėti
window;langas
lantern;žibintas
trash;trash
football;futbolas
hockey;ledo ritulys
basketball;krepšinis
volleyball;tinklinis
rugby;regbis
billiards;biliardas
Titanic;Titaniškas
dynamic;dinaminis
device;prietaisas
print;spausdinti
fraction;frakcija
cookery;kulinarija
office;biuras
Caesar;Cezaris
up;į viršų
running;bėgimas
sneeze;čiaudėti
kick;ateityje
bawl;rėkimas
operator;operatorius
nose;nosis
boxing;boksas
horseradish;krienai
accordion;akordeonas
grill;grotelės
urn;urna
chew;kramtyti
cat;katė
code;kodas
music;muzika
flower;gėlė
coloring;dažymas
hardcore;sunkus
happiness;laimė
smile;šypsena
smirk;šaipytis
souffle;suflė
charging;Įkrovimo
discharge;iškrauti
optics;optika
hallucination;haliucinacija
translation;vertimas
flow;tekėjimas
bucket;kibiras
sing;dainuoti
angle;kampas
wall;sienos
side;pusė
wind;vėjas
thunder;perkūnas
background;fonas
