snow;snø
war;krig
thaw;tine
freezing;frysing
summer;sommer
winter;vinter
autumn;Høsten
spring;vår
ice cream;iskrem
hotel;Hotellet
soil;jord
vegetable;vegetabilsk
machine;maskin
sea;sea
book;bok
beard;skjegg
Jupiter;Jupiter
sword;sverd
difficulty;vanskelighetsgrad
light;lys
cuirass;Cuirass
folder;mappe
rum;rum
juice;juice
pirate;pirat
dill;dill
painter;maler
red;red
green;grønn
blue;blå
black;svart
white;hvit
yellow;gul
rhombus;rombe
triangle;trekant
square;kvadrat
plate;tallerken
language;språk
circle;sirkel
goal;mål
Injun;Injun
collection;samling
mobilization;mobilisering
smoked;røkt
party;fest
titanium;titan
destabilization;destabilisering
tenderness;ømhet
youth;ungdom
cheerful;munter
candy;konfekter
mandarin;mandarin
lead;føre
screen;skjermen
burger;burger
button;knappen
bell;bell
sadness;tristhet
sound;høres
meditation;meditasjon
conservation;bevaring
liberalization;liberalisering
exam;eksamen
degradation;degradering
error;feil
search;søke
socket;socket
bar;Bar
screen;skjermen
vulture;gribb
watch;se
window;vindu
lantern;lanterne
trash;søppel
football;fotball
hockey;hockey
basketball;basketball
volleyball;volleyball
rugby;rugby
billiards;biljard
Titanic;Titanic
dynamic;dynamisk
device;enhet
print;skriv ut
fraction;fraksjon
cookery;matlaging
office;kontor
Caesar;Caesar
up;opp
running;kjører
sneeze;nyse
kick;sparke
bawl;skråle
operator;operatør
nose;nese
boxing;boksing
horseradish;pepperrot
accordion;trekkspill
grill;grill
urn;urne
chew;tygge
cat;cat
code;kode
music;musikk
flower;blomst
coloring;fargelegger
hardcore;hardcore
happiness;lykke
smile;smiler
smirk;smirk
souffle;souffle
charging;lading
discharge;utslipp
optics;optikk
hallucination;hallusinasjon
translation;oversettelse
flow;flyt
bucket;bøtte
sing;synge
angle;vinkel
wall;veggen
side;side
wind;vind
thunder;torden
background;bakgrunn
