snow;sneeuw
war;oorlog
thaw;dooi
freezing;ijskoud
summer;zomer
winter;winter
autumn;herfst
spring;voorjaar
ice cream;ijs
hotel;hotel
soil;bodem
vegetable;groente
machine;machine
sea;zee
book;boek
beard;baard
Jupiter;Jupiter
sword;zwaard
difficulty;moeilijkheid
light;licht
cuirass;kuras
folder;map
rum;rum
juice;sap
pirate;piraat
dill;dille
painter;schilder
red;rood
green;groen
blue;blauw
black;zwart
white;wit
yellow;geel
rhombus;ruit
triangle;driehoek
square;vierkant
plate;plaat
language;taal
circle;cirkel
goal;doel
Injun;Indiaan
collection;collectie
mobilization;mobilisatie
smoked;gerookt
party;partij
titanium;titanium
destabilization;destabilisatie
tenderness;tederheid
youth;jeugd
cheerful;vrolijk
candy;snoep
mandarin;mandarijn-
lead;leiden
screen;scherm
burger;hamburger
button;knop
bell;bel
sadness;verdriet
sound;klinken
meditation;meditatie
conservation;behoud
liberalization;liberalisering
exam;tentamen
degradation;ontaarding
error;fout
search;zoeken
socket;stopcontact
bar;bar
screen;scherm
vulture;gier
watch;horloge
window;venster
lantern;lantaarn
trash;trash
football;voetbal
hockey;hockey
basketball;basketbal
volleyball;volleybal
rugby;rugby
billiards;biljart
Titanic;Reusachtig
dynamic;dynamisch
device;apparaat
print;afdrukken
fraction;fractie
cookery;kookkunst
office;kantoor
Caesar;Caesar
up;omhoog
running;lopend
sneeze;niezen
kick;kick
bawl;joelen
operator;operator
nose;neus
boxing;boksen
horseradish;mierikswortel
accordion;accordeon
grill;rooster
urn;urn
chew;kauwen
cat;kat
code;code
music;muziek
flower;bloem
coloring;kleur
hardcore;hardcore
happiness;geluk
smile;glimlach
smirk;meesmuilen
souffle;souffle
charging;opladen
discharge;ontladen
optics;optica
hallucination;hallucinatie
translation;vertaling
flow;stroom
bucket;emmer
sing;zingen
angle;hoek
wall;muur
side;kant
wind;wind
thunder;donder
background;achtergrond
