snow;雪
war;战争
thaw;解冻
freezing;冷冻
summer;夏天
winter;冬天
autumn;秋
spring;春天
ice cream;冰淇淋
hotel;旅馆
soil;土壤
vegetable;蔬菜
machine;机
sea;海
book;书
beard;胡须
Jupiter;木星
sword;剑
difficulty;困难
light;光
cuirass;胸甲
folder;夹
rum;甜酒
juice;果汁
pirate;海盗
dill;莳萝
painter;画家
red;红色
green;绿色
blue;蓝色
black;黑色
white;白
yellow;黄色
rhombus;菱形
triangle;三角形
square;方
plate;盘
language;语
circle;圈
goal;目标
Injun;印第安
collection;采集
mobilization;动员
smoked;熏制
party;党
titanium;钛
destabilization;不稳定
tenderness;柔情
youth;青年
cheerful;快乐
candy;糖果
mandarin;普通话
lead;带领
screen;屏幕
burger;汉堡
button;钮
bell;钟
sadness;悲
sound;声音
meditation;冥想
conservation;保护
liberalization;自由化
exam;考试
degradation;降解
error;错误
search;搜索
socket;插座
bar;酒吧
screen;屏幕
vulture;秃鹫
watch;看
window;窗口
lantern;灯笼
trash;垃圾
football;足球
hockey;曲棍球
basketball;篮球
volleyball;排球
rugby;橄榄球
billiards;台球
Titanic;泰坦尼克号
dynamic;动态
device;设备
print;打印
fraction;分数
cookery;烹调术
office;办公室
Caesar;凯撒
up;上
running;运行
sneeze;打喷嚏
kick;踢
bawl;呶
operator;操作者
nose;鼻子
boxing;拳击
horseradish;辣根
accordion;手风琴
grill;烤架
urn;瓮
chew;咀嚼
cat;猫
code;码
music;音乐
flower;花
coloring;染色
hardcore;铁杆
happiness;幸福
smile;微笑
smirk;傻笑
souffle;杂音
charging;充电
discharge;排出
optics;光学
hallucination;幻觉
translation;翻译
flow;流
bucket;桶
sing;唱
angle;角
wall;墙
side;侧
wind;风
thunder;雷声
background;背景
