snow;Schnee
war;Krieg
thaw;Tauwetter
freezing;Einfrieren
summer;Sommer
winter;Winter
autumn;Herbst
spring;Frühling
ice cream;Eis
hotel;Hotel
soil;Boden
vegetable;Gemüse
machine;Maschine
sea;Meer
book;Buch
beard;Bart
Jupiter;Jupiter
sword;Schwert
difficulty;Schwierigkeit
light;Licht
cuirass;Kürass
folder;Ordner
rum;rum
juice;Saft
pirate;Piraten
dill;Dill
painter;Maler
red;red
green;grün
blue;blau
black;schwarz
white;weiß
yellow;gelb
rhombus;Rhombus
triangle;Dreieck
square;Platz
plate;Platte
language;Sprache
circle;Kreis
goal;Ziel
Injun;Injun
collection;Sammlung
mobilization;Mobilisierung
smoked;geräuchert
party;Partei
titanium;Titan
destabilization;Destabilisierung
tenderness;Zärtlichkeit
youth;Jugendliche
cheerful;heiter
candy;Süßigkeiten
mandarin;Mandarine
lead;führen
screen;Bildschirm
burger;burger
button;Schaltfläche
bell;Glocke
sadness;Traurigkeit
sound;ertönen
meditation;Meditation
conservation;Erhaltung
liberalization;Liberalisierung
exam;Prüfung
degradation;Abbau
error;Fehler
search;Suche
socket;Buchse
bar;bar
screen;Bildschirm
vulture;Geier
watch;beobachten
window;Fenster
lantern;Laterne
trash;Papierkorb
football;Fußball
hockey;hockey
basketball;Basketball
volleyball;Volleyball
rugby;Rugby
billiards;Billard
Titanic;Titanic
dynamic;dynamische
device;Gerät
print;drucken
fraction;Bruchteil
cookery;Kochen
office;Geschäftsstelle
Caesar;Caesar
up;up
running;läuft
sneeze;niesen
kick;Kick
bawl;bawl
operator;Betreiber
nose;Nase
boxing;Boxen
horseradish;Meerrettich
accordion;Akkordeon
grill;Grill
urn;Urne
chew;beißen
cat;cat
code;Code
music;Musik
flower;Blume
coloring;Färben
hardcore;hardcore
happiness;Glück
smile;lächeln
smirk;schmunzeln
souffle;souffle
charging;Laden
discharge;entladen
optics;Optik
hallucination;Sinnestäuschung
translation;Übersetzung
flow;fließen
bucket;Eimer
sing;singen
angle;Winkel
wall;Wand
side;Seite
wind;Wind
thunder;Donner
background;Hintergrund
