Считывание игроков завершено

Файл 01. Egor92 (Сормово) успешно считан!
Файл 02. S1ngle успешно считан!
Файл 03. Полковник успешно считан!
Файл 04. Горьков-Чанин (Горький) успешно считан!
Файл 05. zloybuh (Городец) успешно считан!
Файл 06. Сокол33 успешно считан!
Файл 07. Сергей Кузин успешно считан!
Файл 08. PahanPsv успешно считан!
Файл 09. Alex St успешно считан!
Файл 10. Ваня успешно считан!
Файл 11. Barik (Нижний Новгород) успешно считан!
Считывание файлов голосов завершено
Удачно считано 11 файлов

 1: 105 баллов - Артур Саркисов
 2:  96 баллов - Леандро
 3:  73 баллов - Артур Нигматуллин
 4:  68 баллов - Илья Кухарчук
 5:  59 баллов - Дмитрий Полянин
 6:  46 баллов - Андрей Козлов
 7:  44 баллов - Максим Жестоков
 8:  26 баллов - Артур Миносян
 9:  16 баллов - Андрей Буйволов
10:  15 баллов - Эдуард Суханов
11:  11 баллов - Михаил Костюков
12:  10 баллов - Илья Петров
13:   9 баллов - Дмитрий Маляка
14:   8 баллов - Искандар Джалилов
15:   8 баллов - Роман Концедалов
16:   7 баллов - Александр Шуленин
17:   4 баллов - Михаил Комаров
18:   0 баллов - Андрей Прошин
19:   0 баллов - Мераби Уридия
20:   0 баллов - Андрей Чурин
21:   0 баллов - Пётр Польчак
22:   0 баллов - Дмитрий Кураев
23:   0 баллов - Артём Даниленко
24:   0 баллов - Никита Николаев
25:   0 баллов - Марцин Ковальчик
26:   0 баллов - Лутон Шелтон
27:   0 баллов - Никита Юрков
